"productId","displayName","tags"
"PROD20005443_LULU","Unisex Power Stride Crew Socks 3 Pack *Updated","Running, Training, Workout, Men, Women, Socks, Accessories, Early Access, We Made Too Much"
"PROD11870917_LULU","Quick-Dry Short-Sleeve Polo Shirt *Straight Hem","Golf, Tennis, Women, Polo Shirts, We Made Too Much, Shirts, Short Sleeve Shirts"
"PROD20004323_LULU","Unisex Power Stride Tab Socks 3 Pack *Updated","Running, Training, Workout, Men, Women, Accessories, Socks, What's New, We Made Too Much"
"PROD20003399_LULU","Fast and Free Tank","Running, Men, Tank Tops, Shirts, What's New"
"PROD20004271_LULU","Unisex Power Stride Tab Socks *Updated","Running, Training, Workout, Men, Women, Socks, We Made Too Much, Accessories"
"PROD20005931_LULU","Heavyweight Classic-Fit Cotton T-Shirt *Graphic","Casual, Men, T-Shirts, What's New, Short Sleeve Shirts"
"PROD20000307_LULU","Unisex Power Stride Crew Socks Reflective Grid *Updated","Running, Training, Workout, Men, Women, Accessories, Socks, Early Access"
"PROD20004359_LULU","Unisex Power Stride Crew Socks *Updated","Running, Training, Workout, Men, Women, Socks, Bestsellers, What's New, Accessories, We Made Too Much"
"PROD20001835_LULU","Adapted State High-Rise Jogger *Magnetic Closures","Golf, Running, Training, Workout, Women, Early Access, Joggers"
"PROD20001183_LULU","lululemon Align™ Palazzo Pant *Short","Casual, Dance, Yoga, Women, Pants, We Made Too Much"
"PROD20001483_LULU","Softstreme Classic-Fit High-Rise Jogger","Casual, Women, What's New, Joggers"
"PROD20000491_LULU","Fast and Free High-Rise Tight 25"" Light *Special Edition","Running, Training, Workout, Women, Bestsellers, Leggings, What's New"
"PROD11870524_LULU","Mile Maker Run Crew Ripstop Linerless Short 6""","Running, Men, What's New, Shorts, We Made Too Much"
"PROD20003659_LULU","Back In Action Organic Cotton Long-Sleeve Shirt","Casual, Women, What's New, Shirts, T-Shirts, Long Sleeve Shirts"
"PROD20001055_LULU","Mile Maker Mesh T-Shirt *Graphic","Running, Men, T-Shirts, Short Sleeve Shirts, What's New, Bestsellers"
"PROD20000771_LULU","Unisex Power Stride Ankle Socks *Updated","Running, Training, Workout, Men, Women, Socks, Accessories, We Made Too Much"
"PROD20001407_LULU","Travel Toiletry Bag 3.5L","Casual, Women, Bags, We Made Too Much"
"PROD20001219_LULU","Negative Split Textured Run Short 2.5""","Running, Training, Workout, Women, What's New, Matching Sets, Early Access, Shorts"
"PROD20004655_LULU","Adapted State Textured Jacket","Running, Training, Workout, Women, What's New, Coats & Jackets, Matching Sets"
"PROD20005071_LULU","Sculpt Cropped Cross-Vent Tank Top","Running, Women, Tank Tops, What's New"
"PROD11870182_LULU","Mile Maker Run Crew Lightweight Tank Top","Running, Men, Tank Tops, Shirts, We Made Too Much, What's New"
"PROD20003791_LULU","Crinkle Nylon Cinchable Jacket","Casual, Women, What's New, Coats & Jackets"
"PROD20004527_LULU","Women's Fast and Free Short 8"" Light *Special Edition","Running, Training, Workout, Women, Bestsellers, What's New, Shorts"
"PROD20004391_LULU","Soft Stretch Active Boxer Brief 5"" *3 Pack","Training, Men, Underwear, What's New"
