product_name,baseProduct,product_price_currency,product_price_formatted,product_price_type,product_price_value,badges,categories,category_codes,option_code,option_productName,option_sellable,option_stock_status,option_price_value,color_name,color_value,size
Swiftly Tech Racerback Tank Top 2.0 *Race Length,PROD9750460_LULU,KWD,KWD 21.500,BUY,21.5,,"Women's Tops, Seasonal, Women's Tank Tops, Root Lululemon, Sports Clothing for Women, Running Clothes for Women, The Winter Drop, Training Clothes for Women, Under KWD 15, Womens","womens-tops, edits, womens-tank-tops, root-0, womens-activity, women-activity-running, the-winter-drop, women-activity-training, under-200, women",UPV1045228,Swiftly Tech Racerback Tank Top 2.0 *Race Length,True,lowStock,21.5,SLATE/WHITE,color-slate-white,10
Swiftly Tech Racerback Tank Top 2.0 *Race Length,PROD9750460_LULU,KWD,KWD 21.500,BUY,21.5,,"Women's Tops, Seasonal, Women's Tank Tops, Root Lululemon, Sports Clothing for Women, Running Clothes for Women, The Winter Drop, Training Clothes for Women, Under KWD 15, Womens","womens-tops, edits, womens-tank-tops, root-0, womens-activity, women-activity-running, the-winter-drop, women-activity-training, under-200, women",UPV0997725,Swiftly Tech Racerback Tank Top 2.0 *Race Length,True,lowStock,21.5,WHITE/WHITE,color-white-white,10
Swiftly Tech Racerback Tank Top 2.0 *Race Length,PROD9750460_LULU,KWD,KWD 21.500,BUY,21.5,,"Women's Tops, Seasonal, Women's Tank Tops, Root Lululemon, Sports Clothing for Women, Running Clothes for Women, The Winter Drop, Training Clothes for Women, Under KWD 15, Womens","womens-tops, edits, womens-tank-tops, root-0, womens-activity, women-activity-running, the-winter-drop, women-activity-training, under-200, women",FUA0061341D,Swiftly Tech Racerback Tank Top 2.0 *Waist Length,True,lowStock,12.5,STORM TEAL/STORM TEAL,color-storm-teal-storm-teal,6
Swiftly Tech Racerback Tank Top 2.0 *Race Length,PROD9750460_LULU,KWD,KWD 21.500,BUY,21.5,,"Women's Tops, Seasonal, Women's Tank Tops, Root Lululemon, Sports Clothing for Women, Running Clothes for Women, The Winter Drop, Training Clothes for Women, Under KWD 15, Womens","womens-tops, edits, womens-tank-tops, root-0, womens-activity, women-activity-running, the-winter-drop, women-activity-training, under-200, women",FUA0111295D,Swiftly Tech Racerback Tank Top 2.0 *Waist Length,True,lowStock,21.5,SERENE BLUE/SERENE BLUE,color-serene-blue-serene-blue,6
Swiftly Tech Racerback Tank Top 2.0 *Race Length,PROD9750460_LULU,KWD,KWD 21.500,BUY,21.5,,"Women's Tops, Seasonal, Women's Tank Tops, Root Lululemon, Sports Clothing for Women, Running Clothes for Women, The Winter Drop, Training Clothes for Women, Under KWD 15, Womens","womens-tops, edits, womens-tank-tops, root-0, womens-activity, women-activity-running, the-winter-drop, women-activity-training, under-200, women",FUA0111302D,Swiftly Tech Racerback Tank Top 2.0 *Waist Length,True,lowStock,21.5,BAY LEAF/BAY LEAF,color-bay-leaf-bay-leaf,6
"Built to Move Boxer 5"" *Online Only",PROD10641594_LULU,KWD,KWD 14.000,BUY,14.0,,"Running Clothes for Men, Sports Clothing for Men, Yoga Clothes for Men, Training Clothes for Men, Root Lululemon, Mens, Cyber Monday, The Winter Drop, Men's Underwear","men-activity-running, men-activity, men-activity-yoga, men-activity-training, root-0, men, cyber-monday, the-winter-drop, mens-underwear",UPV0904705,"Built to Move Boxer 5"" *Online Only",True,lowStock,14.0,BLACK,Color-Black,S
Swiftly Relaxed-Fit Long Sleeve Shirt,PROD8510157_LULU,KWD,KWD 29.000,BUY,29.0,,"Women's Tops, Seasonal, Summer Shop, Travel Edit, Root Lululemon, Sports Clothing for Women, Running Clothes for Women, Training Clothes for Women, Womens","womens-tops, edits, summer-shop, travel-edit, root-0, womens-activity, women-activity-running, women-activity-training, women",UPV0926171,Swiftly Relaxed-Fit Long Sleeve Shirt,True,lowStock,29.0,BLACK/BLACK,color-black-black,2
Swiftly Relaxed-Fit Long Sleeve Shirt,PROD8510157_LULU,KWD,KWD 29.000,BUY,29.0,,"Women's Tops, Seasonal, Summer Shop, Travel Edit, Root Lululemon, Sports Clothing for Women, Running Clothes for Women, Training Clothes for Women, Womens","womens-tops, edits, summer-shop, travel-edit, root-0, womens-activity, women-activity-running, women-activity-training, women",UPV0934933,Swiftly Relaxed-Fit Long Sleeve Shirt,True,lowStock,29.0,WHITE/WHITE,color-white-white,16
Swiftly Relaxed-Fit Long Sleeve Shirt,PROD8510157_LULU,KWD,KWD 29.000,BUY,29.0,,"Women's Tops, Seasonal, Summer Shop, Travel Edit, Root Lululemon, Sports Clothing for Women, Running Clothes for Women, Training Clothes for Women, Womens","womens-tops, edits, summer-shop, travel-edit, root-0, womens-activity, women-activity-running, women-activity-training, women",UPV0934809,Swiftly Relaxed-Fit Long Sleeve Shirt,True,lowStock,29.0,SLATE/WHITE,color-slate-white,10
Swiftly Relaxed-Fit Long Sleeve Shirt,PROD8510157_LULU,KWD,KWD 29.000,BUY,29.0,,"Women's Tops, Seasonal, Summer Shop, Travel Edit, Root Lululemon, Sports Clothing for Women, Running Clothes for Women, Training Clothes for Women, Womens","womens-tops, edits, summer-shop, travel-edit, root-0, womens-activity, women-activity-running, women-activity-training, women",FUA0093326D,Swiftly Relaxed Long-Sleeve Shirt *Hip Length,True,lowStock,20.0,STARCH BLUE/STARCH BLUE,color-starch-blue-starch-blue,8
Swiftly Relaxed-Fit Long Sleeve Shirt,PROD8510157_LULU,KWD,KWD 29.000,BUY,29.0,,"Women's Tops, Seasonal, Summer Shop, Travel Edit, Root Lululemon, Sports Clothing for Women, Running Clothes for Women, Training Clothes for Women, Womens","womens-tops, edits, summer-shop, travel-edit, root-0, womens-activity, women-activity-running, women-activity-training, women",FUA0093331D,Swiftly Relaxed Long-Sleeve Shirt *Hip Length,True,lowStock,20.0,PINK HAZE/PINK HAZE,color-pink-haze-pink-haze,4
Swiftly Relaxed-Fit Long Sleeve Shirt,PROD8510157_LULU,KWD,KWD 29.000,BUY,29.0,,"Women's Tops, Seasonal, Summer Shop, Travel Edit, Root Lululemon, Sports Clothing for Women, Running Clothes for Women, Training Clothes for Women, Womens","womens-tops, edits, summer-shop, travel-edit, root-0, womens-activity, women-activity-running, women-activity-training, women",FUA0100821D,Swiftly Relaxed Long-Sleeve Shirt *Hip Length,True,lowStock,20.0,RASPBERRY COULIS/RASPBERRY COULIS,color-raspberry-coulis-raspberry-coulis,8
Softstreme High-Rise Straight Leg Crop,PROD11020342_LULU,KWD,KWD 30.000,BUY,30.0,Sale,"All Yours For Less, Seasonal, mss, Women's Collections, Softstreme Collection, The Winter Edit, Root Lululemon, Women's Joggers, Winter Edit, Women's Pants, Womens","on-sale, edits, mss, womens-collections, softstreme-collection, winter-gifts, root-0, womens-joggers, winter-treats, womens-bottoms, women",UPV0975142,Softstreme High-Rise Straight Leg Crop,True,inStock,30.0,BLACK,Color-Black,4
"lululemon Align™ High-Rise Pant 25""",PROD2020012_LULU,KWD,KWD 37.000,BUY,37.0,,"Women's Leggings, Seasonal, Summer Shop, The Winter Edit, Travel Edit, Root Lululemon, Align™ Collection, Women's Pants, The Winter Drop, Women's On the Move, Womens, Women's Collections, Fall Edit, mss, Yoga Clothes for Women, Women's Collections, Winter Edit, Cyber Monday, Sports Clothing for Women, The Spring Edit","womens-leggings, edits, summer-shop, winter-gifts, travel-edit, root-0, the-align-collection, womens-bottoms, the-winter-drop, women-activity-on-the-move, women, womens-collections, the-fall-edit, mss, women-activity-yoga, women-guides, winter-treats, cyber-monday, womens-activity, the-spring-edit",UPV0790406,"lululemon Align™ High-Rise Pant 25""",True,lowStock,37.0,GRAPHITE GREY,color-graphite-grey,8
"lululemon Align™ High-Rise Pant 25""",PROD2020012_LULU,KWD,KWD 37.000,BUY,37.0,,"Women's Leggings, Seasonal, Summer Shop, The Winter Edit, Travel Edit, Root Lululemon, Align™ Collection, Women's Pants, The Winter Drop, Women's On the Move, Womens, Women's Collections, Fall Edit, mss, Yoga Clothes for Women, Women's Collections, Winter Edit, Cyber Monday, Sports Clothing for Women, The Spring Edit","womens-leggings, edits, summer-shop, winter-gifts, travel-edit, root-0, the-align-collection, womens-bottoms, the-winter-drop, women-activity-on-the-move, women, womens-collections, the-fall-edit, mss, women-activity-yoga, women-guides, winter-treats, cyber-monday, womens-activity, the-spring-edit",UPV0851429,"lululemon Align™ High-Rise Pant 25""",True,lowStock,37.0,TRUE NAVY,color-true-navy,14
"lululemon Align™ High-Rise Pant 25""",PROD2020012_LULU,KWD,KWD 37.000,BUY,37.0,,"Women's Leggings, Seasonal, Summer Shop, The Winter Edit, Travel Edit, Root Lululemon, Align™ Collection, Women's Pants, The Winter Drop, Women's On the Move, Womens, Women's Collections, Fall Edit, mss, Yoga Clothes for Women, Women's Collections, Winter Edit, Cyber Monday, Sports Clothing for Women, The Spring Edit","womens-leggings, edits, summer-shop, winter-gifts, travel-edit, root-0, the-align-collection, womens-bottoms, the-winter-drop, women-activity-on-the-move, women, womens-collections, the-fall-edit, mss, women-activity-yoga, women-guides, winter-treats, cyber-monday, womens-activity, the-spring-edit",UPV0782020,"lululemon Align™ High-Rise Pant 25""",True,inStock,37.0,BLACK,Color-Black,8
"lululemon Align™ High-Rise Pant 25""",PROD2020012_LULU,KWD,KWD 37.000,BUY,37.0,,"Women's Leggings, Seasonal, Summer Shop, The Winter Edit, Travel Edit, Root Lululemon, Align™ Collection, Women's Pants, The Winter Drop, Women's On the Move, Womens, Women's Collections, Fall Edit, mss, Yoga Clothes for Women, Women's Collections, Winter Edit, Cyber Monday, Sports Clothing for Women, The Spring Edit","womens-leggings, edits, summer-shop, winter-gifts, travel-edit, root-0, the-align-collection, womens-bottoms, the-winter-drop, women-activity-on-the-move, women, womens-collections, the-fall-edit, mss, women-activity-yoga, women-guides, winter-treats, cyber-monday, womens-activity, the-spring-edit",FUA0099757D,"lululemon Align™ High-Rise Pant 25""",True,lowStock,25.5,RACEWAY GREEN,color-raceway-green,4
"lululemon Align™ High-Rise Pant 25""",PROD2020012_LULU,KWD,KWD 37.000,BUY,37.0,,"Women's Leggings, Seasonal, Summer Shop, The Winter Edit, Travel Edit, Root Lululemon, Align™ Collection, Women's Pants, The Winter Drop, Women's On the Move, Womens, Women's Collections, Fall Edit, mss, Yoga Clothes for Women, Women's Collections, Winter Edit, Cyber Monday, Sports Clothing for Women, The Spring Edit","womens-leggings, edits, summer-shop, winter-gifts, travel-edit, root-0, the-align-collection, womens-bottoms, the-winter-drop, women-activity-on-the-move, women, womens-collections, the-fall-edit, mss, women-activity-yoga, women-guides, winter-treats, cyber-monday, womens-activity, the-spring-edit",FUA0109552D,"lululemon Align™ High-Rise Pant 25""",True,lowStock,36.0,RED CLAY,color-red-clay,10
"lululemon Align™ High-Rise Pant 25""",PROD2020012_LULU,KWD,KWD 37.000,BUY,37.0,,"Women's Leggings, Seasonal, Summer Shop, The Winter Edit, Travel Edit, Root Lululemon, Align™ Collection, Women's Pants, The Winter Drop, Women's On the Move, Womens, Women's Collections, Fall Edit, mss, Yoga Clothes for Women, Women's Collections, Winter Edit, Cyber Monday, Sports Clothing for Women, The Spring Edit","womens-leggings, edits, summer-shop, winter-gifts, travel-edit, root-0, the-align-collection, womens-bottoms, the-winter-drop, women-activity-on-the-move, women, womens-collections, the-fall-edit, mss, women-activity-yoga, women-guides, winter-treats, cyber-monday, womens-activity, the-spring-edit",FUA0103844D,"lululemon Align™ High-Rise Pant 25""",True,lowStock,37.0,ESPRESSO,Color-Espresso,10
"lululemon Align™ High-Rise Pant 25""",PROD2020012_LULU,KWD,KWD 37.000,BUY,37.0,,"Women's Leggings, Seasonal, Summer Shop, The Winter Edit, Travel Edit, Root Lululemon, Align™ Collection, Women's Pants, The Winter Drop, Women's On the Move, Womens, Women's Collections, Fall Edit, mss, Yoga Clothes for Women, Women's Collections, Winter Edit, Cyber Monday, Sports Clothing for Women, The Spring Edit","womens-leggings, edits, summer-shop, winter-gifts, travel-edit, root-0, the-align-collection, womens-bottoms, the-winter-drop, women-activity-on-the-move, women, womens-collections, the-fall-edit, mss, women-activity-yoga, women-guides, winter-treats, cyber-monday, womens-activity, the-spring-edit",FUA0102821D,"lululemon Align™ High-Rise Pant 25""",True,lowStock,37.0,PALM DECO,color-palm-deco,6
"lululemon Align™ High-Rise Pant 25""",PROD2020012_LULU,KWD,KWD 37.000,BUY,37.0,,"Women's Leggings, Seasonal, Summer Shop, The Winter Edit, Travel Edit, Root Lululemon, Align™ Collection, Women's Pants, The Winter Drop, Women's On the Move, Womens, Women's Collections, Fall Edit, mss, Yoga Clothes for Women, Women's Collections, Winter Edit, Cyber Monday, Sports Clothing for Women, The Spring Edit","womens-leggings, edits, summer-shop, winter-gifts, travel-edit, root-0, the-align-collection, womens-bottoms, the-winter-drop, women-activity-on-the-move, women, womens-collections, the-fall-edit, mss, women-activity-yoga, women-guides, winter-treats, cyber-monday, womens-activity, the-spring-edit",FUA0103335D,"lululemon Align™ High-Rise Pant 25""",True,lowStock,37.0,RAINFOREST GREEN,color-rainforest-green,10
Swiftly Tech Short Sleeve Shirt 2.0 *Race Length Online Only,PROD9820343_LULU,KWD,KWD 25.000,BUY,25.0,,"Women's Tops, Seasonal, Summer Shop, Travel Edit, Root Lululemon, Winter Edit, Sports Clothing for Women, Running Clothes for Women, The Spring Edit, Training Clothes for Women, Womens","womens-tops, edits, summer-shop, travel-edit, root-0, winter-treats, womens-activity, women-activity-running, the-spring-edit, women-activity-training, women",UPV1044717,Swiftly Tech Short Sleeve Shirt 2.0 *Race Length Online Only,True,lowStock,25.0,SLATE/WHITE,color-slate-white,12
Swiftly Tech Short Sleeve Shirt 2.0 *Race Length Online Only,PROD9820343_LULU,KWD,KWD 25.000,BUY,25.0,,"Women's Tops, Seasonal, Summer Shop, Travel Edit, Root Lululemon, Winter Edit, Sports Clothing for Women, Running Clothes for Women, The Spring Edit, Training Clothes for Women, Womens","womens-tops, edits, summer-shop, travel-edit, root-0, winter-treats, womens-activity, women-activity-running, the-spring-edit, women-activity-training, women",UPV0929395,Swiftly Tech Short Sleeve Shirt 2.0 *Race Length Online Only,True,lowStock,25.0,BLACK/BLACK,color-black-black,16
Swiftly Tech Short Sleeve Shirt 2.0 *Race Length Online Only,PROD9820343_LULU,KWD,KWD 25.000,BUY,25.0,,"Women's Tops, Seasonal, Summer Shop, Travel Edit, Root Lululemon, Winter Edit, Sports Clothing for Women, Running Clothes for Women, The Spring Edit, Training Clothes for Women, Womens","womens-tops, edits, summer-shop, travel-edit, root-0, winter-treats, womens-activity, women-activity-running, the-spring-edit, women-activity-training, women",UPV1044796,Swiftly Tech Short Sleeve Shirt 2.0 *Race Length Online Only,True,lowStock,25.0,WHITE/WHITE,color-white-white,2
Swiftly Tech Short Sleeve Shirt 2.0 *Race Length Online Only,PROD9820343_LULU,KWD,KWD 25.000,BUY,25.0,,"Women's Tops, Seasonal, Summer Shop, Travel Edit, Root Lululemon, Winter Edit, Sports Clothing for Women, Running Clothes for Women, The Spring Edit, Training Clothes for Women, Womens","womens-tops, edits, summer-shop, travel-edit, root-0, winter-treats, womens-activity, women-activity-running, the-spring-edit, women-activity-training, women",FUA0104210D,Swiftly Tech Short-Sleeve Shirt 2.0 *Waist Length,True,lowStock,25.0,SERENE BLUE/SERENE BLUE,color-serene-blue-serene-blue,4
"lululemon Align™ Super-High-Rise Pant 28"" *Online Only",PROD9200552_LULU,KWD,KWD 37.000,BUY,37.0,,"Women's Leggings, Seasonal, Root Lululemon, Align™ Collection, Women's Back To School, Women's Pants, Womens, Women's Collections, Women's Loungewear, Yoga Clothes for Women, Women's Yoga Bottoms, Women's Collections, Sports Clothing for Women, The Spring Edit","womens-leggings, edits, root-0, the-align-collection, back-to-school-women, womens-bottoms, women, womens-collections, women-collection-loungewear, women-activity-yoga, yoga-bottoms, women-guides, womens-activity, the-spring-edit",UPV0904454,"lululemon Align™ Super-High-Rise Pant 28"" *Online Only",True,lowStock,37.0,TRUE NAVY,color-true-navy,6
"lululemon Align™ Super-High-Rise Pant 28"" *Online Only",PROD9200552_LULU,KWD,KWD 37.000,BUY,37.0,,"Women's Leggings, Seasonal, Root Lululemon, Align™ Collection, Women's Back To School, Women's Pants, Womens, Women's Collections, Women's Loungewear, Yoga Clothes for Women, Women's Yoga Bottoms, Women's Collections, Sports Clothing for Women, The Spring Edit","womens-leggings, edits, root-0, the-align-collection, back-to-school-women, womens-bottoms, women, womens-collections, women-collection-loungewear, women-activity-yoga, yoga-bottoms, women-guides, womens-activity, the-spring-edit",UPV0857973,"lululemon Align™ Super-High-Rise Pant 28"" *Online Only",True,lowStock,37.0,BLACK,Color-Black,4
