product_name,baseProduct,product_price_currency,product_price_formatted,product_price_type,product_price_value,badges,categories,category_codes,option_code,option_productName,option_sellable,option_stock_status,option_price_value,color_name,color_value,size
"Groove Super-High-Rise Crop 23"" *Nulu Online Only",PROD8900649_LULU,QAR,QAR 350.00,BUY,350.0,Sale,"All Yours For Less, Yoga Clothes for Women, Seasonal, Women's Online Exclusives, Root Lululemon, Sports Clothing for Women, Women's Cropped Bottoms, Women's Pants, Back To Work, The Pink Edit, Women's Leggings, Women's Collections, Women's - What's New, Womens, Women's Yoga Bottoms, mss, Winter Edit, The Winter Edit","on-sale, women-activity-yoga, edits, women-collection-online-exclusives, root-0, womens-activity, womens-cropped-bottoms, womens-bottoms, back-to-work, the-pink-edit, womens-leggings, womens-collections, women-collections-whatsnew, women, yoga-bottoms, mss, winter-treats, winter-gifts",UPV1061216,"Groove Super-High-Rise Crop 23"" *Nulu Online Only",True,inStock,350.0,DARK OLIVE,color-dark-olive,4
"Groove Super-High-Rise Crop 23"" *Nulu Online Only",PROD8900649_LULU,QAR,QAR 350.00,BUY,350.0,Sale,"All Yours For Less, Yoga Clothes for Women, Seasonal, Women's Online Exclusives, Root Lululemon, Sports Clothing for Women, Women's Cropped Bottoms, Women's Pants, Back To Work, The Pink Edit, Women's Leggings, Women's Collections, Women's - What's New, Womens, Women's Yoga Bottoms, mss, Winter Edit, The Winter Edit","on-sale, women-activity-yoga, edits, women-collection-online-exclusives, root-0, womens-activity, womens-cropped-bottoms, womens-bottoms, back-to-work, the-pink-edit, womens-leggings, womens-collections, women-collections-whatsnew, women, yoga-bottoms, mss, winter-treats, winter-gifts",UPV0983965,"Groove Super-High-Rise Crop 23""",True,inStock,250.0,BLACK,Color-Black,6
"Groove Super-High-Rise Crop 23"" *Nulu Online Only",PROD8900649_LULU,QAR,QAR 350.00,BUY,350.0,Sale,"All Yours For Less, Yoga Clothes for Women, Seasonal, Women's Online Exclusives, Root Lululemon, Sports Clothing for Women, Women's Cropped Bottoms, Women's Pants, Back To Work, The Pink Edit, Women's Leggings, Women's Collections, Women's - What's New, Womens, Women's Yoga Bottoms, mss, Winter Edit, The Winter Edit","on-sale, women-activity-yoga, edits, women-collection-online-exclusives, root-0, womens-activity, womens-cropped-bottoms, womens-bottoms, back-to-work, the-pink-edit, womens-leggings, womens-collections, women-collections-whatsnew, women, yoga-bottoms, mss, winter-treats, winter-gifts",UPV1044935,"Groove Super-High-Rise Crop 23"" *Nulu",True,inStock,250.0,GRAPHITE GREY,color-graphite-grey,6
"Groove Super-High-Rise Crop 23"" *Nulu Online Only",PROD8900649_LULU,QAR,QAR 350.00,BUY,350.0,Sale,"All Yours For Less, Yoga Clothes for Women, Seasonal, Women's Online Exclusives, Root Lululemon, Sports Clothing for Women, Women's Cropped Bottoms, Women's Pants, Back To Work, The Pink Edit, Women's Leggings, Women's Collections, Women's - What's New, Womens, Women's Yoga Bottoms, mss, Winter Edit, The Winter Edit","on-sale, women-activity-yoga, edits, women-collection-online-exclusives, root-0, womens-activity, womens-cropped-bottoms, womens-bottoms, back-to-work, the-pink-edit, womens-leggings, womens-collections, women-collections-whatsnew, women, yoga-bottoms, mss, winter-treats, winter-gifts",UPV0983562,"Groove Super-High-Rise Crop 23""",True,inStock,250.0,TRUE NAVY,color-true-navy,10
"Fast and Free High-Rise Crop 23""",PROD9590022_LULU,QAR,QAR 260.00,BUY,260.0,Sale,"All Yours For Less, Seasonal, Women's Online Exclusives, Root Lululemon, Sports Clothing for Women, The Fast and Free Collection, Fast and Free, Women's Cropped Bottoms, Women's Pants, Women's Running Bottoms, Women's Collections, Women's Leggings, Running Clothes for Women, Women's Collections, Hiking Clothes for Women, Womens, Women's Back To School, mss","on-sale, edits, women-collection-online-exclusives, root-0, womens-activity, womens-collection-fast-and-free, the-fast-and-free-collection, womens-cropped-bottoms, womens-bottoms, running-bottoms, women-guides, womens-leggings, women-activity-running, womens-collections, women-activity-hiking, women, back-to-school-women, mss",UPV0896839,"Fast and Free High-Rise Crop 23""",True,lowStock,260.0,BLACK,Color-Black,12
City Sweat Jogger Tall *Online Only,PROD7390343_LULU,QAR,QAR 360.00,BUY,360.0,Sale,"All Yours For Less, Men's Collections, Mens, Seasonal, Valentines Day, Root Lululemon, Men's Back To School, Men's Joggers, Men's Online Exclusives, Men's Pants, Back To Work, Cyber Monday, Men's Loungewear, City Sweat Collection, mss, flacko","on-sale, men-collections, men, edits, valentines-day, root-0, back-to-school-men, mens-joggers, men-collections-online-exclusives, mens-pants, back-to-work, cyber-monday, men-collection-loungewear, city-sweat-collection, mss, flacko",UPV0984078,City Sweat Jogger Tall *Online Only,True,lowStock,360.0,BLACK,Color-Black,L
"lululemon Align™ High-Rise Wide Leg Crop 23"" *Online Only",PROD11020227_LULU,QAR,QAR 250.00,BUY,250.0,Sale,"All Yours For Less, Yoga Clothes for Women, Seasonal, Root Lululemon, Sports Clothing for Women, Women's Cropped Bottoms, Women's Pants, Align™ Collection, Back To Work, Women's Collections, Women's Leggings, Women's Collections, Womens, mss","on-sale, women-activity-yoga, edits, root-0, womens-activity, womens-cropped-bottoms, womens-bottoms, the-align-collection, back-to-work, women-guides, womens-leggings, womens-collections, women, mss",UPV0954566,"lululemon Align™ High-Rise Wide Leg Crop 23"" *Online Only",True,inStock,250.0,BLACK,Color-Black,2
Down for It All Hoodie,PROD9200786_LULU,QAR,QAR 840.00,BUY,840.0,,"Men's Collections, Gift Ideas, Mens, Seasonal, Root Lululemon, Golf Clothes for Men, Men's Jackets, Bestsellers, Men's - What's New, Men's Online Exclusives, Gifts For Runners, Sports Clothing for Men, Men's On The Move, Gifts, Winter Edit","men-collections, gift-ideas, men, edits, root-0, men-activity-golf, mens-coats-and-jackets, bestsellers, men-collections-whatsnew, men-collections-online-exclusives, gifts-for-runners, men-activity, men-activity-on-the-move, gifts, winter-treats",UPV1065993,Down for It All Hoodie,True,lowStock,840.0,TRUE NAVY,color-true-navy,M
"Speed Up High-Rise Lined Short 2.5""",PROD8610610_LULU,QAR,QAR 300.00,BUY,300.0,,"Women's Shorts, Women's Running Bottoms, Running Clothes for Women, Women's Camo Shop, Root Lululemon, Women's Collections, Women's Online Exclusives, Sports Clothing for Women, Training Clothes for Women, Womens, Everlux","womens-shorts, running-bottoms, women-activity-running, women-collection-camo-shop, root-0, womens-collections, women-collection-online-exclusives, womens-activity, women-activity-training, women, women-collection-everlux",UPV0904106,"Speed Up High-Rise Lined Short 2.5""",True,inStock,300.0,WHITE,Color-White,12
"Hotty Hot High-Rise Lined Short 4""",PROD9250073_LULU,QAR,QAR 300.00,BUY,300.0,,"Women's Shorts, Seasonal, Running Clothes for Women, Summer Shop, Root Lululemon, Sports Clothing for Women, Womens, Winter Edit, Under QAR 200, The Winter Edit, The Spring Edit","womens-shorts, edits, women-activity-running, summer-shop, root-0, womens-activity, women, winter-treats, under-200, winter-gifts, the-spring-edit",UPV0857382,"Hotty Hot High-Rise Lined Short 4""",True,lowStock,300.0,WHITE,Color-White,10
